Country Name;Year;President;GDP_bil;gini_coef
United States;1974;Ford; 1545,243;35,3
United States;1979;Carter; 2627,334;34,6
United States;1986;Reagan; 4579,631;37,5
United States;1991;Bush Sr.; 6158,129;38,2
United States;1994;Clinton; 7287,236;40,2
United States;1997;Clinton; 8577,554;40,7
United States;2000;Clinton;10252,345;40,3
United States;2004;Bush Jr.;12213,729;40,5
United States;2007;Bush Jr.;14451,859;41,0
United States;2010;Obama;14992,053;40,3
United States;2013;Obama;16784,849;41,0
United States;2016;Obama;18707,188;41,4
