Country Name;chmort;gdp;gdp_bil
Afghanistan;47,9;1,936297e+10;1,936297e+01
Angola;51,6;1,057510e+11;1,057510e+02
Albania; 7,8;1,510250e+10;1,510250e+01
Andorra; 2,7;3,236544e+09;3,236544e+00
United Arab Emirates; 6,5;4,141789e+11;4,141789e+02
Argentina; 8,8;5,198715e+11;5,198715e+02
Armenia;11,0;1,243309e+10;1,243309e+01
American Samoa;NA;6,360000e+08;6,360000e-01
Antigua and Barbuda; 5,0;1,610574e+09;1,610574e+00
Australia; 3,1;1,433904e+12;1,433904e+03
Austria; 2,9;4,552858e+11;4,552858e+02
Azerbaijan;19,2;4,693953e+10;4,693953e+01
Burundi;41,0;3,036932e+09;3,036932e+00
Belgium; 2,9;5,427611e+11;5,427611e+02
Benin;60,5;1,035427e+10;1,035427e+01
Burkina Faso;49,0;1,412478e+10;1,412478e+01
Bangladesh;25,1;2,740250e+11;2,740250e+02
Bulgaria; 5,9;6,513295e+10;6,513295e+01
Bahrain; 6,1;3,774620e+10;3,774620e+01
Bahamas, The; 8,3;1,242450e+10;1,242450e+01
Bosnia and Herzegovina; 5,0;2,016187e+10;2,016187e+01
Belarus; 2,6;5,966250e+10;5,966250e+01
Belize;11,2;1,871203e+09;1,871203e+00
Bolivia;21,8;4,028765e+10;4,028765e+01
Brazil;12,8;1,868626e+12;1,868626e+03
Barbados;11,3;5,145000e+09;5,145000e+00
Brunei Darussalam; 9,8;1,356735e+10;1,356735e+01
Bhutan;24,8;2,446674e+09;2,446674e+00
Botswana;30,0;1,861602e+10;1,861602e+01
Central African Republic;84,5;2,219895e+09;2,219895e+00
Canada; 4,3;1,713342e+12;1,713342e+03
Switzerland; 3,7;7,051404e+11;7,051404e+02
Chile; 6,2;2,982311e+11;2,982311e+02
China; 7,4;1,360815e+13;1,360815e+04
Cote d'Ivoire;59,4;4,300705e+10;4,300705e+01
Cameroon;50,6;3,867521e+10;3,867521e+01
Congo, Dem. Rep.;68,2;4,722754e+10;4,722754e+01
Congo, Rep.;36,2;1,126368e+10;1,126368e+01
Colombia;12,2;3,310470e+11;3,310470e+02
Comoros;51,3;1,177955e+09;1,177955e+00
Cabo Verde;16,7;1,976814e+09;1,976814e+00
Costa Rica; 7,6;6,013011e+10;6,013011e+01
Cuba; 3,7;1,000230e+11;1,000230e+02
Curacao;NA;3,127908e+09;3,127908e+00
Cyprus; 1,9;2,496199e+10;2,496199e+01
Czech Republic; 2,7;2,452259e+11;2,452259e+02
Germany; 3,1;3,947620e+12;3,947620e+03
Djibouti;49,8;2,955912e+09;2,955912e+00
Dominica;32,9;5,508926e+08;5,508926e-01
Denmark; 3,6;3,556753e+11;3,556753e+02
Dominican Republic;24,1;8,555539e+10;8,555539e+01
Algeria;20,1;1,737580e+11;1,737580e+02
Ecuador;12,2;1,083981e+11;1,083981e+02
Egypt, Arab Rep.;18,1;2,508948e+11;2,508948e+02
Spain; 2,5;1,419042e+12;1,419042e+03
Estonia; 2,1;3,073214e+10;3,073214e+01
Ethiopia;39,1;8,435560e+10;8,435560e+01
Finland; 1,4;2,767431e+11;2,767431e+02
Fiji;21,6;5,536760e+09;5,536760e+00
France; 3,4;2,777535e+12;2,777535e+03
Micronesia, Fed. Sts.;25,6;4,019323e+08;4,019323e-01
Gabon;32,7;1,685359e+10;1,685359e+01
United Kingdom; 3,6;2,855297e+12;2,855297e+03
Georgia; 8,7;1,759966e+10;1,759966e+01
Ghana;34,9;6,555646e+10;6,555646e+01
Guinea;64,9;1,090721e+10;1,090721e+01
Gambia, The;39,0;1,632823e+09;1,632823e+00
Guinea-Bissau;54,0;1,458156e+09;1,458156e+00
Equatorial Guinea;62,6;1,343238e+10;1,343238e+01
Greece; 3,6;2,180318e+11;2,180318e+02
Grenada;13,7;1,185926e+09;1,185926e+00
Guatemala;22,1;7,846045e+10;7,846045e+01
Guam;NA;5,920000e+09;5,920000e+00
Guyana;25,1;3,878663e+09;3,878663e+00
Hong Kong SAR, China;NA;3,626820e+11;3,626820e+02
Honduras;15,1;2,396989e+10;2,396989e+01
Croatia; 4,0;6,097170e+10;6,097170e+01
Haiti;49,5;9,658721e+09;9,658721e+00
Hungary; 3,6;1,578829e+11;1,578829e+02
Indonesia;21,1;1,042173e+12;1,042173e+03
India;29,9;2,718732e+12;2,718732e+03
Ireland; 3,1;3,824875e+11;3,824875e+02
Iraq;22,5;2,242280e+11;2,242280e+02
Iceland; 1,5;2,587848e+10;2,587848e+01
Israel; 3,0;3,705880e+11;3,705880e+02
Italy; 2,6;2,083864e+12;2,083864e+03
Jamaica;12,4;1,571391e+10;1,571391e+01
Jordan;13,9;4,223130e+10;4,223130e+01
Japan; 1,8;4,971323e+12;4,971323e+03
Kazakhstan; 8,8;1,793400e+11;1,793400e+02
Kenya;30,6;8,790826e+10;8,790826e+01
Kyrgyz Republic;16,9;8,092837e+09;8,092837e+00
Cambodia;24,0;2,454247e+10;2,454247e+01
Kiribati;41,2;1,882845e+08;1,882845e-01
St. Kitts and Nevis; 9,8;1,010822e+09;1,010822e+00
Korea, Rep.; 2,7;1,619424e+12;1,619424e+03
Kuwait; 6,7;1,406454e+11;1,406454e+02
Lao PDR;37,6;1,795379e+10;1,795379e+01
Lebanon; 6,4;5,663916e+10;5,663916e+01
Liberia;53,5;3,264000e+09;3,264000e+00
Libya;10,2;4,836421e+10;4,836421e+01
St. Lucia;14,9;1,921848e+09;1,921848e+00
Sri Lanka; 6,4;8,890077e+10;8,890077e+01
Lesotho;65,7;2,738786e+09;2,738786e+00
Lithuania; 3,3;5,342907e+10;5,342907e+01
Luxembourg; 1,9;7,088533e+10;7,088533e+01
Latvia; 3,3;3,440923e+10;3,440923e+01
Macao SAR, China;NA;5,508405e+10;5,508405e+01
Morocco;19,2;1,179214e+11;1,179214e+02
Monaco; 2,6;7,184844e+09;7,184844e+00
Moldova;13,6;1,144367e+10;1,144367e+01
Madagascar;38,2;1,385343e+10;1,385343e+01
