mun7;areap;controle;peso;idade;sexof;ge_pia
2408102;2408102004001;  44785;13,105272;  0;Feminino;[0,15)
2408102;2408102004001;1121530;17,589771;  0;Feminino;[0,15)
2408102;2408102004001;1446007;22,001498;  0;Masculino;[0,15)
2408102;2408102004001;1722335;23,652734;  0;Masculino;[0,15)
2408102;2408102004001;2698866;18,327560;  0;Feminino;[0,15)
2408102;2408102004001;3326600;15,467142;  0;Masculino;[0,15)
2408102;2408102004001;3405559;22,286615;  0;Feminino;[0,15)
2408102;2408102004001;3878805;37,859572;  0;Feminino;[0,15)
2408102;2408102004002; 108217;17,321453;  0;Feminino;[0,15)
2408102;2408102004002; 138025;17,366353;  0;Masculino;[0,15)
2408102;2408102004002; 203242;26,770696;  0;Feminino;[0,15)
2408102;2408102004002; 362020;20,171826;  0;Masculino;[0,15)
2408102;2408102004002; 459599;23,504670;  0;Feminino;[0,15)
2408102;2408102004002; 520777;20,744136;  0;Feminino;[0,15)
2408102;2408102004002; 729907;15,131392;  0;Masculino;[0,15)
2408102;2408102004002; 981493;16,677705;  0;Masculino;[0,15)
2408102;2408102004002;1253034;20,287872;  0;Feminino;[0,15)
2408102;2408102004002;1734716;38,134527;  0;Feminino;[0,15)
2408102;2408102004002;1817470;20,511595;  0;Masculino;[0,15)
2408102;2408102004002;1880448; 6,235086;  0;Masculino;[0,15)
2408102;2408102004002;2099610;24,748746;  0;Feminino;[0,15)
2408102;2408102004002;2812684;19,699214;  0;Feminino;[0,15)
2408102;2408102004002;2843476;17,027040;  0;Masculino;[0,15)
2408102;2408102004002;2973169;21,820101;  0;Feminino;[0,15)
2408102;2408102004002;3420225;20,202317;  0;Masculino;[0,15)
2408102;2408102004002;3568115;15,939959;  0;Feminino;[0,15)
2408102;2408102004002;3703635;16,677705;  0;Masculino;[0,15)
2408102;2408102004002;3703900;16,677705;  0;Masculino;[0,15)
2408102;2408102004002;4149535;12,144040;  0;Masculino;[0,15)
2408102;2408102004002;4186075;11,653329;  0;Masculino;[0,15)
2408102;2408102004002;4454489;18,578427;  0;Feminino;[0,15)
2408102;2408102004002;5084599;22,980176;  0;Masculino;[0,15)
2408102;2408102004002;5199261;16,643406;  0;Masculino;[0,15)
2408102;2408102004002;5324839;17,677673;  0;Feminino;[0,15)
2408102;2408102004002;5512008;15,227639;  0;Masculino;[0,15)
2408102;2408102004002;5513301;20,616745;  0;Feminino;[0,15)
2408102;2408102004002;5514956;10,374430;  0;Masculino;[0,15)
2408102;2408102004002;5801503; 8,794778;  0;Masculino;[0,15)
2408102;2408102004002;6113699;21,425956;  0;Feminino;[0,15)
2408102;2408102004003;  62736;12,779729;  0;Masculino;[0,15)
2408102;2408102004003; 697416;16,061463;  0;Masculino;[0,15)
2408102;2408102004003; 740520;32,302862;  0;Feminino;[0,15)
2408102;2408102004003; 763030;14,812865;  0;Masculino;[0,15)
2408102;2408102004003; 873062;13,161238;  0;Feminino;[0,15)
2408102;2408102004003;1046515;16,913557;  0;Masculino;[0,15)
2408102;2408102004003;1480253;14,195937;  0;Masculino;[0,15)
2408102;2408102004003;2343117;12,691155;  0;Masculino;[0,15)
2408102;2408102004003;2717807;23,564889;  0;Masculino;[0,15)
2408102;2408102004003;3336242;22,633213;  0;Masculino;[0,15)
2408102;2408102004003;4201825;30,880665;  0;Feminino;[0,15)
2408102;2408102004003;4390322;23,168431;  0;Feminino;[0,15)
2408102;2408102004003;4938327;23,406056;  0;Masculino;[0,15)
2408102;2408102004003;5402278;16,293780;  0;Masculino;[0,15)
2408102;2408102004003;5406206;30,842756;  0;Feminino;[0,15)
2408102;2408102004003;5469575;15,885458;  0;Masculino;[0,15)
2408102;2408102004003;5522410;22,373420;  0;Masculino;[0,15)
2408102;2408102004003;5923984;25,577395;  0;Feminino;[0,15)
2408102;2408102004003;6004588;22,074256;  0;Feminino;[0,15)
2408102;2408102004004;  93094;15,408738;  0;Feminino;[0,15)
2408102;2408102004004; 205802;16,449346;  0;Masculino;[0,15)
2408102;2408102004004; 573121;15,272210;  0;Feminino;[0,15)
2408102;2408102004004; 911104;15,928803;  0;Feminino;[0,15)
2408102;2408102004004; 949497;24,033349;  0;Masculino;[0,15)
2408102;2408102004004;1269058;18,186243;  0;Masculino;[0,15)
2408102;2408102004004;1301693;29,680231;  0;Feminino;[0,15)
2408102;2408102004004;1360142;10,464237;  0;Feminino;[0,15)
2408102;2408102004004;1700239;19,386282;  0;Masculino;[0,15)
2408102;2408102004004;2132740;15,094084;  0;Masculino;[0,15)
2408102;2408102004004;2495103;19,793586;  0;Feminino;[0,15)
2408102;2408102004004;2520739;17,789297;  0;Masculino;[0,15)
2408102;2408102004004;2596379;22,434014;  0;Feminino;[0,15)
2408102;2408102004004;2841420;21,360300;  0;Feminino;[0,15)
2408102;2408102004004;2870935;13,707238;  0;Feminino;[0,15)
2408102;2408102004004;3034765;18,130206;  0;Masculino;[0,15)
2408102;2408102004004;3082069;17,403983;  0;Masculino;[0,15)
2408102;2408102004004;3137472;12,471867;  0;Masculino;[0,15)
2408102;2408102004004;3140789;18,755540;  0;Masculino;[0,15)
2408102;2408102004004;3227931;14,685605;  0;Masculino;[0,15)
2408102;2408102004004;3347627;19,907114;  0;Feminino;[0,15)
2408102;2408102004004;3349930;25,574858;  0;Feminino;[0,15)
2408102;2408102004004;3468679;21,275971;  0;Feminino;[0,15)
2408102;2408102004004;3595924;20,703066;  0;Masculino;[0,15)
2408102;2408102004004;3674713;22,186950;  0;Feminino;[0,15)
2408102;2408102004004;3912448;29,781693;  0;Feminino;[0,15)
2408102;2408102004004;3925812;24,258806;  0;Masculino;[0,15)
2408102;2408102004004;3969933;21,451992;  0;Feminino;[0,15)
2408102;2408102004004;3981130;19,243428;  0;Masculino;[0,15)
2408102;2408102004004;4107991;17,353941;  0;Feminino;[0,15)
2408102;2408102004004;4146750;20,005068;  0;Masculino;[0,15)
2408102;2408102004004;4311811;17,110350;  0;Feminino;[0,15)
2408102;2408102004004;4344787;21,900544;  0;Feminino;[0,15)
2408102;2408102004004;4735984;22,133715;  0;Masculino;[0,15)
2408102;2408102004004;4871173;23,494440;  0;Feminino;[0,15)
2408102;2408102004004;5119457;22,493352;  0;Masculino;[0,15)
2408102;2408102004004;5152329;16,718763;  0;Feminino;[0,15)
2408102;2408102004004;5516005;21,007129;  0;Feminino;[0,15)
2408102;2408102004004;5572109;17,635455;  0;Feminino;[0,15)
2408102;2408102004004;5734883;17,864102;  0;Feminino;[0,15)
2408102;2408102004004;5816697;27,586567;  0;Feminino;[0,15)
2408102;2408102004004;5944616;19,336394;  0;Feminino;[0,15)
2408102;2408102004004;6068596;21,396493;  0;Feminino;[0,15)
