"";"V0011";"V0300";"V0010";"V6036";"mun7";"V0601f";"ge_pia"
"232168";"2408102004001";44785;13,1052720581661;0;2408102;"Feminino";"[0,15)"
"232389";"2408102004001";1121530;17,5897714998644;0;2408102;"Feminino";"[0,15)"
"232420";"2408102004001";1446007;22,0014982302095;0;2408102;"Masculino";"[0,15)"
"232502";"2408102004001";1722335;23,65273447187;0;2408102;"Masculino";"[0,15)"
"232728";"2408102004001";2698866;18,3275599018928;0;2408102;"Feminino";"[0,15)"
"232850";"2408102004001";3326600;15,4671423542658;0;2408102;"Masculino";"[0,15)"
"232866";"2408102004001";3405559;22,2866149396309;0;2408102;"Feminino";"[0,15)"
"232953";"2408102004001";3878805;37,8595715271755;0;2408102;"Feminino";"[0,15)"
"233524";"2408102004002";108217;17,3214526441695;0;2408102;"Feminino";"[0,15)"
"233528";"2408102004002";138025;17,3663526309458;0;2408102;"Masculino";"[0,15)"
"233558";"2408102004002";203242;26,7706957284999;0;2408102;"Feminino";"[0,15)"
"233582";"2408102004002";362020;20,1718257820259;0;2408102;"Masculino";"[0,15)"
"233593";"2408102004002";459599;23,5046696696368;0;2408102;"Feminino";"[0,15)"
"233626";"2408102004002";520777;20,7441361562844;0;2408102;"Feminino";"[0,15)"
"233678";"2408102004002";729907;15,1313921617886;0;2408102;"Masculino";"[0,15)"
"233738";"2408102004002";981493;16,6777052851076;0;2408102;"Masculino";"[0,15)"
"233832";"2408102004002";1253034;20,2878724037631;0;2408102;"Feminino";"[0,15)"
"233943";"2408102004002";1734716;38,1345269516475;0;2408102;"Feminino";"[0,15)"
"233965";"2408102004002";1817470;20,5115951870162;0;2408102;"Masculino";"[0,15)"
"233978";"2408102004002";1880448;6,2350861942483;0;2408102;"Masculino";"[0,15)"
"234030";"2408102004002";2099610;24,7487461179512;0;2408102;"Feminino";"[0,15)"
"234165";"2408102004002";2812684;19,6992144829616;0;2408102;"Feminino";"[0,15)"
"234172";"2408102004002";2843476;17,0270401111794;0;2408102;"Masculino";"[0,15)"
"234204";"2408102004002";2973169;21,8201005315462;0;2408102;"Feminino";"[0,15)"
"234311";"2408102004002";3420225;20,2023170862116;0;2408102;"Masculino";"[0,15)"
"234330";"2408102004002";3568115;15,9399588010385;0;2408102;"Feminino";"[0,15)"
"234357";"2408102004002";3703635;16,6777052851076;0;2408102;"Masculino";"[0,15)"
"234359";"2408102004002";3703900;16,6777052851076;0;2408102;"Masculino";"[0,15)"
"234446";"2408102004002";4149535;12,1440396645609;0;2408102;"Masculino";"[0,15)"
"234460";"2408102004002";4186075;11,6533291949732;0;2408102;"Masculino";"[0,15)"
"234521";"2408102004002";4454489;18,5784272752573;0;2408102;"Feminino";"[0,15)"
"234636";"2408102004002";5084599;22,9801764169457;0;2408102;"Masculino";"[0,15)"
"234661";"2408102004002";5199261;16,6434055861457;0;2408102;"Masculino";"[0,15)"
"234719";"2408102004002";5324839;17,6776725112328;0;2408102;"Feminino";"[0,15)"
"234752";"2408102004002";5512008;15,2276388845512;0;2408102;"Masculino";"[0,15)"
"234756";"2408102004002";5513301;20,6167453880061;0;2408102;"Feminino";"[0,15)"
"234763";"2408102004002";5514956;10,3744297170537;0;2408102;"Masculino";"[0,15)"
"234837";"2408102004002";5801503;8,7947779747341;0;2408102;"Masculino";"[0,15)"
"234922";"2408102004002";6113699;21,4259555483924;0;2408102;"Feminino";"[0,15)"
"234940";"2408102004003";62736;12,7797294964637;0;2408102;"Masculino";"[0,15)"
"235110";"2408102004003";697416;16,0614625086136;0;2408102;"Masculino";"[0,15)"
"235111";"2408102004003";740520;32,30286187478;0;2408102;"Feminino";"[0,15)"
"235118";"2408102004003";763030;14,8128645286879;0;2408102;"Masculino";"[0,15)"
"235147";"2408102004003";873062;13,1612377186174;0;2408102;"Feminino";"[0,15)"
"235186";"2408102004003";1046515;16,913556505158;0;2408102;"Masculino";"[0,15)"
"235310";"2408102004003";1480253;14,1959368381355;0;2408102;"Masculino";"[0,15)"
"235539";"2408102004003";2343117;12,6911553233573;0;2408102;"Masculino";"[0,15)"
"235611";"2408102004003";2717807;23,5648886210505;0;2408102;"Masculino";"[0,15)"
"235769";"2408102004003";3336242;22,6332128418635;0;2408102;"Masculino";"[0,15)"
"235988";"2408102004003";4201825;30,8806646885805;0;2408102;"Feminino";"[0,15)"
"236036";"2408102004003";4390322;23,1684314378386;0;2408102;"Feminino";"[0,15)"
"236173";"2408102004003";4938327;23,4060557105413;0;2408102;"Masculino";"[0,15)"
"236278";"2408102004003";5402278;16,2937803767915;0;2408102;"Masculino";"[0,15)"
"236288";"2408102004003";5406206;30,8427559727279;0;2408102;"Feminino";"[0,15)"
"236301";"2408102004003";5469575;15,8854584812356;0;2408102;"Masculino";"[0,15)"
"236311";"2408102004003";5522410;22,3734204224301;0;2408102;"Masculino";"[0,15)"
"236421";"2408102004003";5923984;25,5773949809084;0;2408102;"Feminino";"[0,15)"
"236445";"2408102004003";6004588;22,0742556033788;0;2408102;"Feminino";"[0,15)"
"236522";"2408102004004";93094;15,4087375851657;0;2408102;"Feminino";"[0,15)"
"236585";"2408102004004";205802;16,4493456697052;0;2408102;"Masculino";"[0,15)"
"236783";"2408102004004";573121;15,2722095014535;0;2408102;"Feminino";"[0,15)"
"236995";"2408102004004";911104;15,9288030060255;0;2408102;"Feminino";"[0,15)"
"237028";"2408102004004";949497;24,0333486143916;0;2408102;"Masculino";"[0,15)"
"237189";"2408102004004";1269058;18,1862430766519;0;2408102;"Masculino";"[0,15)"
"237213";"2408102004004";1301693;29,680230626516;0;2408102;"Feminino";"[0,15)"
"237270";"2408102004004";1360142;10,4642374717008;0;2408102;"Feminino";"[0,15)"
"237529";"2408102004004";1700239;19,3862824920918;0;2408102;"Masculino";"[0,15)"
"237839";"2408102004004";2132740;15,0940844712749;0;2408102;"Masculino";"[0,15)"
"238072";"2408102004004";2495103;19,7935861418055;0;2408102;"Feminino";"[0,15)"
"238089";"2408102004004";2520739;17,7892968785642;0;2408102;"Masculino";"[0,15)"
"238139";"2408102004004";2596379;22,434014388555;0;2408102;"Feminino";"[0,15)"
"238276";"2408102004004";2841420;21,3602999896811;0;2408102;"Feminino";"[0,15)"
"238286";"2408102004004";2870935;13,7072383379511;0;2408102;"Feminino";"[0,15)"
"238356";"2408102004004";3034765;18,1302056877174;0;2408102;"Masculino";"[0,15)"
"238392";"2408102004004";3082069;17,4039828260971;0;2408102;"Masculino";"[0,15)"
"238432";"2408102004004";3137472;12,4718666245113;0;2408102;"Masculino";"[0,15)"
"238436";"2408102004004";3140789;18,7555396484054;0;2408102;"Masculino";"[0,15)"
"238507";"2408102004004";3227931;14,6856046099171;0;2408102;"Masculino";"[0,15)"
"238579";"2408102004004";3347627;19,9071142563172;0;2408102;"Feminino";"[0,15)"
"238584";"2408102004004";3349930;25,5748577512998;0;2408102;"Feminino";"[0,15)"
"238659";"2408102004004";3468679;21,2759705464689;0;2408102;"Feminino";"[0,15)"
"238730";"2408102004004";3595924;20,7030656209692;0;2408102;"Masculino";"[0,15)"
"238786";"2408102004004";3674713;22,1869500808509;0;2408102;"Feminino";"[0,15)"
"238922";"2408102004004";3912448;29,7816930534063;0;2408102;"Feminino";"[0,15)"
"238940";"2408102004004";3925812;24,2588060833221;0;2408102;"Masculino";"[0,15)"
"238969";"2408102004004";3969933;21,4519917806802;0;2408102;"Feminino";"[0,15)"
